work_order_number,dwr_name,technician,tech_subsidiary,job_stop_date,milestone,dummy_unit,on_site_hours,scope_of_work_performed
WO-35000297,DWR-11004304,PSG Technician 22,Pearce Services Global,2025-08-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000297,DWR-11004305,PSG Technician 07,Pearce Services Global,2025-08-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000297,DWR-11004306,PSG Technician 07,Pearce Services Global,2025-08-15,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000298,DWR-11004307,PSG Technician 24,Pearce Services Global,2026-04-16,Intake,Intake,0.7,Synthetic WO and project folder created.
WO-35000298,DWR-11004308,PSG Technician 07,Pearce Services Global,2026-04-17,Pre-field,Pre-field,1.92,Synthetic scoping and site-map preparation completed.
WO-35000298,DWR-11004309,US Field Technician 09,Pearce Services,2026-04-18,Fielding,Field Travel,1.77,Synthetic travel to and from the work site.
WO-35000298,DWR-11004310,US Field Technician 09,Pearce Services,2026-04-18,Fielding,Site Visit,1.98,Synthetic site visit and local-contact coordination.
WO-35000298,DWR-11004311,US Field Technician 09,Pearce Services,2026-04-18,Fielding,Fielding,0.85,Synthetic aerial/buried field measurements captured.
WO-35000298,DWR-11004312,PSG Technician 21,Pearce Services Global,2026-04-22,Fielding,Field QC,0.55,Synthetic field package reviewed.
WO-35000298,DWR-11004313,PSG Technician 19,Pearce Services Global,2026-04-22,OCALC,Pole loading,1.71,Synthetic pole-loading extraction and submission.
WO-35000298,DWR-11004314,PSG Technician 13,Pearce Services Global,2026-04-24,Design,Design,3.19,Synthetic design production and record correction.
WO-35000298,DWR-11004315,PSG Technician 37,Pearce Services Global,2026-04-25,Design,Design,3.93,Synthetic design production and record correction.
WO-35000298,DWR-11004316,PSG Technician 36,Pearce Services Global,2026-04-27,Design,Design,8.22,Synthetic design production and record correction.
WO-35000298,DWR-11004317,PSG Technician 17,Pearce Services Global,2026-04-27,Design,Design QC,2.65,Synthetic design quality-control review completed.
WO-35000298,DWR-11004318,PSG Technician 23,Pearce Services Global,2026-04-27,Permitting,Permit Admin,0.71,Synthetic permit preparation or submission activity.
WO-35000298,DWR-11004319,PSG Technician 17,Pearce Services Global,2026-04-27,Permitting,Unscaled Permit,2.7,Synthetic permit preparation or submission activity.
WO-35000298,DWR-11004320,PSG Technician 11,Pearce Services Global,2026-04-27,Permitting,Quality Control - Permit,2.04,Synthetic permit preparation or submission activity.
WO-35000298,DWR-11004321,PSG Technician 27,Pearce Services Global,2026-05-01,Final Delivery,Final Delivery,1.07,Synthetic final package review and delivery.
WO-35000298,DWR-11004322,PSG Technician 03,Pearce Services Global,2026-05-01,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000298,DWR-11004323,PSG Technician 37,Pearce Services Global,2026-05-01,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000299,DWR-11004324,PSG Technician 20,Pearce Services Global,2025-07-15,Intake,Intake,0.37,Synthetic WO and project folder created.
WO-35000299,DWR-11004325,PSG Technician 30,Pearce Services Global,2025-07-15,Pre-field,Pre-field,1.28,Synthetic scoping and site-map preparation completed.
WO-35000299,DWR-11004326,US Field Technician 06,Pearce Services,2025-07-21,Fielding,Field Travel,1.58,Synthetic travel to and from the work site.
WO-35000299,DWR-11004327,US Field Technician 06,Pearce Services,2025-07-21,Fielding,Site Visit,1.89,Synthetic site visit and local-contact coordination.
WO-35000299,DWR-11004328,US Field Technician 06,Pearce Services,2025-07-21,Fielding,Fielding,1.27,Synthetic aerial/buried field measurements captured.
WO-35000299,DWR-11004329,PSG Technician 38,Pearce Services Global,2025-07-24,Fielding,Field QC,0.44,Synthetic field package reviewed.
WO-35000299,DWR-11004330,PSG Technician 39,Pearce Services Global,2025-07-24,OCALC,Pole loading,1.42,Synthetic pole-loading extraction and submission.
WO-35000299,DWR-11004331,PSG Technician 26,Pearce Services Global,2025-07-25,Design,Design,2.32,Synthetic design production and record correction.
WO-35000299,DWR-11004332,PSG Technician 11,Pearce Services Global,2025-07-27,Design,Design QC,1.6,Synthetic design quality-control review completed.
WO-35000299,DWR-11004333,PSG Technician 16,Pearce Services Global,2025-07-31,Final Delivery,Final Delivery,1.34,Synthetic final package review and delivery.
WO-35000299,DWR-11004334,PSG Technician 21,Pearce Services Global,2025-07-31,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000299,DWR-11004335,PSG Technician 40,Pearce Services Global,2025-07-31,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000299,DWR-11004336,PSG Technician 02,Pearce Services Global,2025-07-31,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000300,DWR-11004337,PSG Technician 02,Pearce Services Global,2025-03-17,Intake,Intake,0.69,Synthetic WO and project folder created.
WO-35000300,DWR-11004338,PSG Technician 31,Pearce Services Global,2025-03-18,Pre-field,Pre-field,1.61,Synthetic scoping and site-map preparation completed.
WO-35000300,DWR-11004339,US Field Technician 18,Pearce Services,2025-03-22,Fielding,Field Travel,2.76,Synthetic travel to and from the work site.
WO-35000300,DWR-11004340,US Field Technician 18,Pearce Services,2025-03-22,Fielding,Site Visit,2.14,Synthetic site visit and local-contact coordination.
WO-35000300,DWR-11004341,US Field Technician 18,Pearce Services,2025-03-22,Fielding,Fielding,4.11,Synthetic aerial/buried field measurements captured.
WO-35000300,DWR-11004342,PSG Technician 08,Pearce Services Global,2025-03-24,Fielding,Field QC,0.65,Synthetic field package reviewed.
WO-35000300,DWR-11004343,PSG Technician 08,Pearce Services Global,2025-03-28,Design,Design,4.34,Synthetic design production and record correction.
WO-35000300,DWR-11004344,PSG Technician 01,Pearce Services Global,2025-03-28,Design,Design QC,2.09,Synthetic design quality-control review completed.
WO-35000300,DWR-11004345,PSG Technician 24,Pearce Services Global,2025-03-28,Design,Rework - Design,1.07,Synthetic customer or QC corrections implemented.
WO-35000300,DWR-11004346,PSG Technician 12,Pearce Services Global,2025-03-28,Permitting,Permit Admin,0.96,Synthetic permit preparation or submission activity.
WO-35000300,DWR-11004347,PSG Technician 11,Pearce Services Global,2025-03-28,Permitting,Quality Control - Permit,1.92,Synthetic permit preparation or submission activity.
WO-35000300,DWR-11004348,PSG Technician 16,Pearce Services Global,2025-03-31,Final Delivery,Final Delivery,0.81,Synthetic final package review and delivery.
WO-35000300,DWR-11004349,PSG Technician 09,Pearce Services Global,2025-03-31,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000300,DWR-11004350,PSG Technician 24,Pearce Services Global,2025-03-31,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000301,DWR-11004351,PSG Technician 09,Pearce Services Global,2026-05-17,Intake,Intake,0.32,Synthetic WO and project folder created.
WO-35000301,DWR-11004352,PSG Technician 25,Pearce Services Global,2026-05-17,Pre-field,Pre-field,3.07,Synthetic scoping and site-map preparation completed.
WO-35000301,DWR-11004353,US Field Technician 12,Pearce Services,2026-05-22,Fielding,Field Travel,3.2,Synthetic travel to and from the work site.
WO-35000301,DWR-11004354,US Field Technician 12,Pearce Services,2026-05-22,Fielding,Site Visit,2.33,Synthetic site visit and local-contact coordination.
WO-35000301,DWR-11004355,US Field Technician 12,Pearce Services,2026-05-22,Fielding,Fielding,1.63,Synthetic aerial/buried field measurements captured.
WO-35000301,DWR-11004356,PSG Technician 18,Pearce Services Global,2026-05-26,Fielding,Field QC,0.76,Synthetic field package reviewed.
WO-35000301,DWR-11004357,PSG Technician 39,Pearce Services Global,2026-05-26,OCALC,Pole loading,2.09,Synthetic pole-loading extraction and submission.
WO-35000301,DWR-11004358,PSG Technician 38,Pearce Services Global,2026-05-29,Design,Design,1.43,Synthetic design production and record correction.
WO-35000301,DWR-11004359,PSG Technician 14,Pearce Services Global,2026-05-30,Design,Design,1.18,Synthetic design production and record correction.
WO-35000301,DWR-11004360,PSG Technician 12,Pearce Services Global,2026-06-01,Design,Design QC,3.08,Synthetic design quality-control review completed.
WO-35000301,DWR-11004361,PSG Technician 39,Pearce Services Global,2026-06-01,Design,Rework - Design,6.86,Synthetic customer or QC corrections implemented.
WO-35000301,DWR-11004362,PSG Technician 36,Pearce Services Global,2026-06-02,Permitting,Permit Admin,0.44,Synthetic permit preparation or submission activity.
WO-35000301,DWR-11004363,PSG Technician 36,Pearce Services Global,2026-06-02,Permitting,Unscaled Permit,4.22,Synthetic permit preparation or submission activity.
WO-35000301,DWR-11004364,PSG Technician 07,Pearce Services Global,2026-06-05,Final Delivery,Final Delivery,0.59,Synthetic final package review and delivery.
WO-35000301,DWR-11004365,PSG Technician 20,Pearce Services Global,2026-06-05,Final Delivery,Rework - Final Delivery,1.82,Synthetic final-delivery correction.
WO-35000301,DWR-11004366,PSG Technician 20,Pearce Services Global,2026-06-05,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000301,DWR-11004367,PSG Technician 02,Pearce Services Global,2026-06-05,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000302,DWR-11004368,PSG Technician 40,Pearce Services Global,2026-02-09,Intake,Intake,0.64,Synthetic WO and project folder created.
WO-35000302,DWR-11004369,PSG Technician 23,Pearce Services Global,2026-02-10,Pre-field,Pre-field,1.94,Synthetic scoping and site-map preparation completed.
WO-35000302,DWR-11004370,US Field Technician 20,Pearce Services,2026-02-17,Fielding,Field Travel,0.25,Synthetic travel to and from the work site.
WO-35000302,DWR-11004371,US Field Technician 20,Pearce Services,2026-02-17,Fielding,Site Visit,2.11,Synthetic site visit and local-contact coordination.
WO-35000302,DWR-11004372,US Field Technician 20,Pearce Services,2026-02-17,Fielding,Fielding,0.67,Synthetic aerial/buried field measurements captured.
WO-35000302,DWR-11004373,PSG Technician 35,Pearce Services Global,2026-02-18,Fielding,Field QC,0.65,Synthetic field package reviewed.
WO-35000302,DWR-11004374,PSG Technician 07,Pearce Services Global,2026-02-18,OCALC,Pole loading,0.54,Synthetic pole-loading extraction and submission.
WO-35000302,DWR-11004375,PSG Technician 02,Pearce Services Global,2026-02-19,Design,Design,5.42,Synthetic design production and record correction.
WO-35000302,DWR-11004376,PSG Technician 18,Pearce Services Global,2026-02-20,Design,Design,5.08,Synthetic design production and record correction.
WO-35000302,DWR-11004377,PSG Technician 13,Pearce Services Global,2026-02-21,Design,Design,6.93,Synthetic design production and record correction.
WO-35000302,DWR-11004378,PSG Technician 30,Pearce Services Global,2026-02-22,Design,Design QC,1.73,Synthetic design quality-control review completed.
WO-35000302,DWR-11004379,PSG Technician 16,Pearce Services Global,2026-02-25,Permitting,Permit Admin,2.37,Synthetic permit preparation or submission activity.
WO-35000302,DWR-11004380,PSG Technician 39,Pearce Services Global,2026-02-25,Permitting,Unscaled Permit,3.68,Synthetic permit preparation or submission activity.
WO-35000302,DWR-11004381,PSG Technician 35,Pearce Services Global,2026-02-28,Final Delivery,Final Delivery,0.65,Synthetic final package review and delivery.
WO-35000302,DWR-11004382,PSG Technician 36,Pearce Services Global,2026-02-28,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000302,DWR-11004383,PSG Technician 37,Pearce Services Global,2026-02-28,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000302,DWR-11004384,PSG Technician 22,Pearce Services Global,2026-02-28,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000303,DWR-11004385,PSG Technician 28,Pearce Services Global,2025-10-24,Intake,Intake,0.68,Synthetic WO and project folder created.
WO-35000303,DWR-11004386,PSG Technician 17,Pearce Services Global,2025-10-25,Pre-field,Pre-field,1.96,Synthetic scoping and site-map preparation completed.
WO-35000303,DWR-11004387,US Field Technician 05,Pearce Services,2025-10-29,Fielding,Field Travel,1.09,Synthetic travel to and from the work site.
WO-35000303,DWR-11004388,US Field Technician 05,Pearce Services,2025-10-29,Fielding,Site Visit,1.83,Synthetic site visit and local-contact coordination.
WO-35000303,DWR-11004389,US Field Technician 05,Pearce Services,2025-10-29,Fielding,Fielding,0.53,Synthetic aerial/buried field measurements captured.
WO-35000303,DWR-11004390,PSG Technician 16,Pearce Services Global,2025-10-31,Fielding,Field QC,0.53,Synthetic field package reviewed.
WO-35000303,DWR-11004391,PSG Technician 23,Pearce Services Global,2025-10-31,OCALC,Pole loading,0.35,Synthetic pole-loading extraction and submission.
WO-35000303,DWR-11004392,PSG Technician 30,Pearce Services Global,2025-11-04,Design,Design,3.49,Synthetic design production and record correction.
WO-35000303,DWR-11004393,PSG Technician 01,Pearce Services Global,2025-11-04,Design,Design,8.42,Synthetic design production and record correction.
WO-35000303,DWR-11004394,PSG Technician 26,Pearce Services Global,2025-11-06,Design,Design QC,1.59,Synthetic design quality-control review completed.
WO-35000303,DWR-11004395,PSG Technician 01,Pearce Services Global,2025-11-06,Design,Rework - Design,6.68,Synthetic customer or QC corrections implemented.
WO-35000303,DWR-11004396,PSG Technician 34,Pearce Services Global,2025-11-07,Final Delivery,Final Delivery,1.15,Synthetic final package review and delivery.
WO-35000303,DWR-11004397,PSG Technician 30,Pearce Services Global,2025-11-07,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000303,DWR-11004398,PSG Technician 02,Pearce Services Global,2025-11-07,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000304,DWR-11004399,PSG Technician 25,Pearce Services Global,2026-03-08,Intake,Intake,0.57,Synthetic WO and project folder created.
WO-35000304,DWR-11004400,PSG Technician 15,Pearce Services Global,2026-03-08,Pre-field,Pre-field,0.59,Synthetic scoping and site-map preparation completed.
WO-35000304,DWR-11004401,US Field Technician 07,Pearce Services,2026-03-11,Fielding,Field Travel,1.36,Synthetic travel to and from the work site.
WO-35000304,DWR-11004402,US Field Technician 07,Pearce Services,2026-03-11,Fielding,Site Visit,0.91,Synthetic site visit and local-contact coordination.
WO-35000304,DWR-11004403,US Field Technician 07,Pearce Services,2026-03-11,Fielding,Fielding,7.28,Synthetic aerial/buried field measurements captured.
WO-35000304,DWR-11004404,PSG Technician 40,Pearce Services Global,2026-03-12,Fielding,Field QC,0.8,Synthetic field package reviewed.
WO-35000304,DWR-11004405,PSG Technician 13,Pearce Services Global,2026-03-12,OCALC,Pole loading,2.3,Synthetic pole-loading extraction and submission.
WO-35000304,DWR-11004406,PSG Technician 22,Pearce Services Global,2026-03-13,Design,Design,2.17,Synthetic design production and record correction.
WO-35000304,DWR-11004407,PSG Technician 24,Pearce Services Global,2026-03-15,Design,Design,2.84,Synthetic design production and record correction.
WO-35000304,DWR-11004408,PSG Technician 27,Pearce Services Global,2026-03-17,Design,Design QC,1.93,Synthetic design quality-control review completed.
WO-35000304,DWR-11004409,PSG Technician 23,Pearce Services Global,2026-03-17,Design,Rework - Design,5.25,Synthetic customer or QC corrections implemented.
WO-35000304,DWR-11004410,PSG Technician 38,Pearce Services Global,2026-03-17,Permitting,Permit Admin,0.89,Synthetic permit preparation or submission activity.
WO-35000304,DWR-11004411,PSG Technician 01,Pearce Services Global,2026-03-18,Final Delivery,Final Delivery,0.51,Synthetic final package review and delivery.
WO-35000304,DWR-11004412,PSG Technician 33,Pearce Services Global,2026-03-18,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000304,DWR-11004413,PSG Technician 11,Pearce Services Global,2026-03-18,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000305,DWR-11004414,PSG Technician 34,Pearce Services Global,2025-03-16,Intake,Intake,0.73,Synthetic WO and project folder created.
WO-35000305,DWR-11004415,PSG Technician 29,Pearce Services Global,2025-03-18,Pre-field,Pre-field,1.53,Synthetic scoping and site-map preparation completed.
WO-35000305,DWR-11004416,US Field Technician 08,Pearce Services,2025-03-23,Fielding,Field Travel,3.09,Synthetic travel to and from the work site.
WO-35000305,DWR-11004417,US Field Technician 08,Pearce Services,2025-03-23,Fielding,Site Visit,1.77,Synthetic site visit and local-contact coordination.
WO-35000305,DWR-11004418,US Field Technician 08,Pearce Services,2025-03-23,Fielding,Fielding,1.06,Synthetic aerial/buried field measurements captured.
WO-35000305,DWR-11004419,PSG Technician 10,Pearce Services Global,2025-03-26,Fielding,Field QC,0.47,Synthetic field package reviewed.
WO-35000305,DWR-11004420,PSG Technician 31,Pearce Services Global,2025-03-28,Design,Design,6.69,Synthetic design production and record correction.
WO-35000305,DWR-11004421,PSG Technician 35,Pearce Services Global,2025-03-30,Design,Design QC,2.46,Synthetic design quality-control review completed.
WO-35000305,DWR-11004422,PSG Technician 35,Pearce Services Global,2025-03-30,Design,Rework - Design,7.13,Synthetic customer or QC corrections implemented.
WO-35000305,DWR-11004423,PSG Technician 02,Pearce Services Global,2025-03-31,Permitting,Permit Admin,1.81,Synthetic permit preparation or submission activity.
WO-35000305,DWR-11004424,PSG Technician 22,Pearce Services Global,2025-03-31,Permitting,Unscaled Permit,2.24,Synthetic permit preparation or submission activity.
WO-35000305,DWR-11004425,PSG Technician 15,Pearce Services Global,2025-03-31,Permitting,Quality Control - Permit,0.97,Synthetic permit preparation or submission activity.
WO-35000305,DWR-11004426,PSG Technician 29,Pearce Services Global,2025-04-03,Final Delivery,Final Delivery,0.84,Synthetic final package review and delivery.
WO-35000305,DWR-11004427,PSG Technician 38,Pearce Services Global,2025-04-03,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000305,DWR-11004428,PSG Technician 13,Pearce Services Global,2025-04-03,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000306,DWR-11004429,PSG Technician 02,Pearce Services Global,2026-04-19,Intake,Intake,0.36,Synthetic WO and project folder created.
WO-35000306,DWR-11004430,PSG Technician 38,Pearce Services Global,2026-04-19,Pre-field,Pre-field,0.67,Synthetic scoping and site-map preparation completed.
WO-35000306,DWR-11004431,US Field Technician 10,Pearce Services,2026-04-23,Fielding,Field Travel,0.8,Synthetic travel to and from the work site.
WO-35000306,DWR-11004432,US Field Technician 10,Pearce Services,2026-04-23,Fielding,Site Visit,2.46,Synthetic site visit and local-contact coordination.
WO-35000306,DWR-11004433,US Field Technician 10,Pearce Services,2026-04-23,Fielding,Fielding,1.49,Synthetic aerial/buried field measurements captured.
WO-35000306,DWR-11004434,PSG Technician 18,Pearce Services Global,2026-04-25,Fielding,Field QC,0.23,Synthetic field package reviewed.
WO-35000306,DWR-11004435,PSG Technician 23,Pearce Services Global,2026-04-25,OCALC,Pole loading,1.29,Synthetic pole-loading extraction and submission.
WO-35000306,DWR-11004436,PSG Technician 22,Pearce Services Global,2026-04-29,Design,Design,7.45,Synthetic design production and record correction.
WO-35000306,DWR-11004437,PSG Technician 03,Pearce Services Global,2026-05-01,Design,Design,2.67,Synthetic design production and record correction.
WO-35000306,DWR-11004438,PSG Technician 25,Pearce Services Global,2026-05-01,Design,Design,2.59,Synthetic design production and record correction.
WO-35000306,DWR-11004439,PSG Technician 40,Pearce Services Global,2026-05-01,Design,Design QC,1.68,Synthetic design quality-control review completed.
WO-35000306,DWR-11004440,PSG Technician 36,Pearce Services Global,2026-05-01,Permitting,Quality Control - Permit,2.16,Synthetic permit preparation or submission activity.
WO-35000306,DWR-11004441,PSG Technician 32,Pearce Services Global,2026-05-02,Final Delivery,Final Delivery,1.18,Synthetic final package review and delivery.
WO-35000306,DWR-11004442,PSG Technician 13,Pearce Services Global,2026-05-02,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000306,DWR-11004443,PSG Technician 20,Pearce Services Global,2026-05-02,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000306,DWR-11004444,PSG Technician 23,Pearce Services Global,2026-05-02,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000307,DWR-11004445,PSG Technician 06,Pearce Services Global,2025-07-06,Intake,Intake,0.33,Synthetic WO and project folder created.
WO-35000307,DWR-11004446,PSG Technician 25,Pearce Services Global,2025-07-06,Pre-field,Pre-field,3.46,Synthetic scoping and site-map preparation completed.
WO-35000307,DWR-11004447,US Field Technician 05,Pearce Services,2025-07-11,Fielding,Field Travel,1.35,Synthetic travel to and from the work site.
WO-35000307,DWR-11004448,US Field Technician 05,Pearce Services,2025-07-11,Fielding,Site Visit,0.82,Synthetic site visit and local-contact coordination.
WO-35000307,DWR-11004449,US Field Technician 05,Pearce Services,2025-07-11,Fielding,Fielding,2.56,Synthetic aerial/buried field measurements captured.
WO-35000307,DWR-11004450,PSG Technician 03,Pearce Services Global,2025-07-14,Fielding,Field QC,0.58,Synthetic field package reviewed.
WO-35000307,DWR-11004451,PSG Technician 05,Pearce Services Global,2025-07-14,OCALC,Pole loading,2.38,Synthetic pole-loading extraction and submission.
WO-35000307,DWR-11004452,PSG Technician 17,Pearce Services Global,2025-07-17,Design,Design,7.43,Synthetic design production and record correction.
WO-35000307,DWR-11004453,PSG Technician 37,Pearce Services Global,2025-07-18,Design,Design,2.62,Synthetic design production and record correction.
WO-35000307,DWR-11004454,PSG Technician 18,Pearce Services Global,2025-07-19,Design,Design QC,1.24,Synthetic design quality-control review completed.
WO-35000307,DWR-11004455,PSG Technician 23,Pearce Services Global,2025-07-21,Final Delivery,Final Delivery,0.84,Synthetic final package review and delivery.
WO-35000307,DWR-11004456,PSG Technician 13,Pearce Services Global,2025-07-21,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000307,DWR-11004457,PSG Technician 10,Pearce Services Global,2025-07-21,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000307,DWR-11004458,PSG Technician 18,Pearce Services Global,2025-07-21,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000308,DWR-11004459,PSG Technician 40,Pearce Services Global,2025-07-15,Intake,Intake,0.57,Synthetic WO and project folder created.
WO-35000308,DWR-11004460,PSG Technician 12,Pearce Services Global,2025-07-15,Pre-field,Pre-field,1.31,Synthetic scoping and site-map preparation completed.
WO-35000308,DWR-11004461,US Field Technician 06,Pearce Services,2025-07-17,Fielding,Field Travel,1.72,Synthetic travel to and from the work site.
WO-35000308,DWR-11004462,US Field Technician 06,Pearce Services,2025-07-17,Fielding,Site Visit,1.14,Synthetic site visit and local-contact coordination.
WO-35000308,DWR-11004463,US Field Technician 06,Pearce Services,2025-07-17,Fielding,Fielding,2.6,Synthetic aerial/buried field measurements captured.
WO-35000308,DWR-11004464,PSG Technician 06,Pearce Services Global,2025-07-18,Fielding,Field QC,0.23,Synthetic field package reviewed.
WO-35000308,DWR-11004465,PSG Technician 32,Pearce Services Global,2025-07-18,OCALC,Pole loading,1.24,Synthetic pole-loading extraction and submission.
WO-35000308,DWR-11004466,PSG Technician 06,Pearce Services Global,2025-07-19,Design,Design,1.62,Synthetic design production and record correction.
WO-35000308,DWR-11004467,PSG Technician 04,Pearce Services Global,2025-07-19,Design,Design,2.07,Synthetic design production and record correction.
WO-35000308,DWR-11004468,PSG Technician 25,Pearce Services Global,2025-07-20,Design,Design QC,2.36,Synthetic design quality-control review completed.
WO-35000308,DWR-11004469,PSG Technician 27,Pearce Services Global,2025-07-23,Permitting,Permit Admin,1.79,Synthetic permit preparation or submission activity.
WO-35000308,DWR-11004470,PSG Technician 24,Pearce Services Global,2025-07-23,Permitting,Unscaled Permit,2.05,Synthetic permit preparation or submission activity.
WO-35000308,DWR-11004471,PSG Technician 16,Pearce Services Global,2025-07-24,Final Delivery,Final Delivery,1.32,Synthetic final package review and delivery.
WO-35000308,DWR-11004472,PSG Technician 07,Pearce Services Global,2025-07-24,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000308,DWR-11004473,PSG Technician 38,Pearce Services Global,2025-07-24,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000309,DWR-11004474,PSG Technician 39,Pearce Services Global,2025-09-11,Intake,Intake,0.52,Synthetic WO and project folder created.
WO-35000309,DWR-11004475,PSG Technician 26,Pearce Services Global,2025-09-12,Pre-field,Pre-field,3.22,Synthetic scoping and site-map preparation completed.
WO-35000309,DWR-11004476,US Field Technician 11,Pearce Services,2025-09-14,Fielding,Field Travel,5.24,Synthetic travel to and from the work site.
WO-35000309,DWR-11004477,US Field Technician 11,Pearce Services,2025-09-14,Fielding,Site Visit,2.47,Synthetic site visit and local-contact coordination.
WO-35000309,DWR-11004478,US Field Technician 11,Pearce Services,2025-09-14,Fielding,Fielding,0.91,Synthetic aerial/buried field measurements captured.
WO-35000309,DWR-11004479,PSG Technician 27,Pearce Services Global,2025-09-17,Fielding,Field QC,0.37,Synthetic field package reviewed.
WO-35000309,DWR-11004480,PSG Technician 22,Pearce Services Global,2025-09-17,OCALC,Pole loading,1.42,Synthetic pole-loading extraction and submission.
WO-35000309,DWR-11004481,PSG Technician 17,Pearce Services Global,2025-09-18,Design,Design,3.12,Synthetic design production and record correction.
WO-35000309,DWR-11004482,PSG Technician 15,Pearce Services Global,2025-09-18,Design,Design,4.99,Synthetic design production and record correction.
WO-35000309,DWR-11004483,PSG Technician 19,Pearce Services Global,2025-09-18,Design,Design QC,1.37,Synthetic design quality-control review completed.
WO-35000309,DWR-11004484,PSG Technician 12,Pearce Services Global,2025-09-19,Permitting,Permit Admin,2.03,Synthetic permit preparation or submission activity.
WO-35000309,DWR-11004485,PSG Technician 17,Pearce Services Global,2025-09-19,Permitting,Unscaled Permit,4.18,Synthetic permit preparation or submission activity.
WO-35000309,DWR-11004486,PSG Technician 33,Pearce Services Global,2025-09-19,Permitting,Quality Control - Permit,1.06,Synthetic permit preparation or submission activity.
WO-35000309,DWR-11004487,PSG Technician 05,Pearce Services Global,2025-09-22,Final Delivery,Final Delivery,1.3,Synthetic final package review and delivery.
WO-35000309,DWR-11004488,PSG Technician 17,Pearce Services Global,2025-09-22,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000309,DWR-11004489,PSG Technician 31,Pearce Services Global,2025-09-22,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
WO-35000310,DWR-11004490,PSG Technician 08,Pearce Services Global,2026-05-02,Intake,Intake,0.37,Synthetic WO and project folder created.
WO-35000310,DWR-11004491,PSG Technician 39,Pearce Services Global,2026-05-03,Pre-field,Pre-field,1.88,Synthetic scoping and site-map preparation completed.
WO-35000310,DWR-11004492,US Field Technician 14,Pearce Services,2026-05-05,Fielding,Field Travel,2.89,Synthetic travel to and from the work site.
WO-35000310,DWR-11004493,US Field Technician 14,Pearce Services,2026-05-05,Fielding,Site Visit,0.82,Synthetic site visit and local-contact coordination.
WO-35000310,DWR-11004494,US Field Technician 14,Pearce Services,2026-05-05,Fielding,Fielding,3.1,Synthetic aerial/buried field measurements captured.
WO-35000310,DWR-11004495,PSG Technician 05,Pearce Services Global,2026-05-07,Fielding,Field QC,0.21,Synthetic field package reviewed.
WO-35000310,DWR-11004496,PSG Technician 18,Pearce Services Global,2026-05-07,OCALC,Pole loading,1.6,Synthetic pole-loading extraction and submission.
WO-35000310,DWR-11004497,PSG Technician 30,Pearce Services Global,2026-05-09,Design,Design,1.19,Synthetic design production and record correction.
WO-35000310,DWR-11004498,PSG Technician 22,Pearce Services Global,2026-05-10,Design,Design,7.19,Synthetic design production and record correction.
WO-35000310,DWR-11004499,PSG Technician 15,Pearce Services Global,2026-05-11,Design,Design QC,1.43,Synthetic design quality-control review completed.
WO-35000310,DWR-11004500,PSG Technician 10,Pearce Services Global,2026-05-12,Final Delivery,Final Delivery,1.45,Synthetic final package review and delivery.
WO-35000310,DWR-11004501,PSG Technician 36,Pearce Services Global,2026-05-12,Billing,Revenue true-up,0.0,Synthetic units submitted for revenue true-up.
